timestamp;AFz;AF3;AF4;AF7;AF8;Pz;P3;P4
1715069288063;-13998.561;-16176.216;-13482.757;-14281.198;-13950.467;-5852.729;-7233.359;-4857.108
1715069288071;-13873.13;-16028.993;-13361.424;-14153.905;-13824.254;-5763.807;-7130.69;-4771.501
1715069288079;-13728.961;-15866.31;-13223.142;-14009.215;-13681.725;-5735.681;-7085.949;-4766.993
1715069288087;-13593.36;-15704.93;-13092.272;-13869.106;-13545.714;-5671.419;-7003.359;-4706.085
1715069288095;-13460.89;-15552.715;-12968.22;-13735.741;-13413.131;-5582.199;-6907.62;-4628.114
1715069288103;-13313.032;-15386.119;-12823.381;-13584.494;-13267.175;-5566.627;-6875.843;-4623.16
1715069288111;-13190.918;-15243.553;-12704.544;-13458.394;-13145.022;-5481.355;-6778.166;-4541.948
1715069288119;-13046.712;-15077.554;-12564.138;-13312.325;-13002.529;-5439.706;-6723.702;-4520.9
1715069288127;-12918.077;-14926.978;-12440.309;-13179.406;-12874.491;-5387.105;-6660.782;-4469.343
1715069288135;-12793.541;-14781.095;-12323;-13053.79;-12751.259;-5308.948;-6570.294;-4403.144
1715069288143;-12632.72;-14597.252;-12164.861;-12889.988;-12590.811;-5264.394;-6509.572;-4372.746
1715069288151;-12513.921;-14459.826;-12052.432;-12768.507;-12471.154;-5185.791;-6420.054;-4289.858
1715069288159;-12379.326;-14303.811;-11920.557;-12629.889;-12336.56;-5155.727;-6372.481;-4279.763
1715069288167;-12253.672;-14154.277;-11798.404;-12501.031;-12211.613;-5111.694;-6314.665;-4238.151
1715069288173;-12134.872;-14017.857;-11684.969;-12379.735;-12092.255;-5040.951;-6238.371;-4174.933
1715069288181;-11987.611;-13853.274;-11545.755;-12232.55;-11946.745;-5012.229;-6189.645;-4156.008
1715069288189;-11875.369;-13721.101;-11441.298;-12119.264;-11835.061;-4933.141;-6100.908;-4082.844
1715069288197;-11747.554;-13573.617;-11317.097;-11988.692;-11707.544;-4906.245;-6064.177;-4075.281
1715069288205;-11604.801;-13410.188;-11177.063;-11844.002;-11564.382;-4846.23;-5983.934;-4016.347
1715069288213;-11470.728;-13255.291;-11046.641;-11706.315;-11431.947;-4759.841;-5889.758;-3943.741
1715069288221;-11331.923;-13095.141;-10908.991;-11562.966;-11294.708;-4736.222;-5851.202;-3934.391
1715069288229;-11223.965;-12966.655;-10809.563;-11451.319;-11188.276;-4656.65;-5758.032;-3854.521
1715069288237;-11092.462;-12819.655;-10685.25;-11320.412;-11056.363;-4627.369;-5716.57;-3848.374
1715069288245;-10966.025;-12674.22;-10563.471;-11191.442;-10929.22;-4575.551;-5648.583;-3798.567
1715069288253;-10849.685;-12536.57;-10450.296;-11073.5;-10813.177;-4504.174;-5577.654;-3732.443
1715069288261;-10703.317;-12370.311;-10310.337;-10927.655;-10667.22;-4474.334;-5527.697;-3715.865
1715069288269;-10607.392;-12253.448;-10220.632;-10826.29;-10572.188;-4397.109;-5435.012;-3640.428
1715069288277;-10473.729;-12102.798;-10092.072;-10692.291;-10438.114;-4362.315;-5394.481;-3622.1
1715069288285;-10349.304;-11957.139;-9970.069;-10562.055;-10314.584;-4308.224;-5328.469;-3571.138
1715069288293;-10234.825;-11824.593;-9860.247;-10444.745;-10200.329;-4237.704;-5252.324;-3513.843
1715069288301;-10107.606;-11680.462;-9739.995;-10317.266;-10072.775;-4234.761;-5228.371;-3521.331
1715069288309;-9999.35;-11552.274;-9633.34;-10204.501;-9965.896;-4141.442;-5124.696;-3432.259
1715069288317;-9863.823;-11396.185;-9499.714;-10064.021;-9831.004;-4106.983;-5075.522;-3414.005
1715069288325;-9734.594;-11249.185;-9376.928;-9934.231;-9703.562;-4052.296;-5006.008;-3357.083
1715069288333;-9620.376;-11115.633;-9267.144;-9819.679;-9589.382;-3980.212;-4936.494;-3296.621
1715069288341;-9494.2;-10971.613;-9144.023;-9690.039;-9463.541;-3964.976;-4903.451;-3295.913
1715069288349;-9394.81;-10854.49;-9050.369;-9588.376;-9363.74;-3887.005;-4814.304;-3219.731
1715069288357;-9278.432;-10721.907;-8938.201;-9470.135;-9248.592;-3859.662;-4776.12;-3206.618
1715069288359;-9164.14;-10588.058;-8826.74;-9352.118;-9135.306;-3814.213;-4711.002;-3160.909
1715069288367;-9063.631;-10471.53;-8734.055;-9251.423;-9034.909;-3757.328;-4648.79;-3112.368
1715069288375;-8950.122;-10340.512;-8624.866;-9136.572;-8921.81;-3755.465;-4629.12;-3123.134
1715069288383;-8829.981;-10200.664;-8507.52;-9011.962;-8802.675;-3660.88;-4525.333;-3027.208
1715069288391;-8685.067;-10036.453;-8366.928;-8863.472;-8656.718;-3609.21;-4459.023;-2995.282
1715069288399;-8591.786;-9923.279;-8277.893;-8767.396;-8564.703;-3576.837;-4414.395;-2966.56
1715069288407;-8499.138;-9815.879;-8189.045;-8673.556;-8472.986;-3518.388;-4357.137;-2916.344
1715069288415;-8354.709;-9656.734;-8048.341;-8526.779;-8327.812;-3490.299;-4302.562;-2898.052
1715069288423;-8264.407;-9549.819;-7962.51;-8436.739;-8237.697;-3424.659;-4235.133;-2830.177
1715069288431;-8140.69;-9403.862;-7840.768;-8310.489;-8114.167;-3395.304;-4202.91;-2817.214
1715069288439;-8023.754;-9270.311;-7727.333;-8187.22;-7998.832;-3347.658;-4138.76;-2769.306
1715069288447;-7940.009;-9169.243;-7650.033;-8101.724;-7915.981;-3284.365;-4073.531;-2718.605
1715069288455;-7814.393;-9031.222;-7529.52;-7978.156;-7791.668;-3265.105;-4037.47;-2710.819
1715069288463;-7724.688;-8924.976;-7442.571;-7885.099;-7701.33;-3200.658;-3959.946;-2642.982
1715069288471;-7612.146;-8792.169;-7334.649;-7770.546;-7588.751;-3183.149;-3933.087;-2645.739
1715069288479;-7496.998;-8659.81;-7223.263;-7649.734;-7475.54;-3138.743;-3874.227;-2604.313
1715069288487;-7391.609;-8538.738;-7124.469;-7541.217;-7372.759;-3060.773;-3794.692;-2532.415
